timestamp,node_id,tilt,vibration,displacement,crack,battery,source_type
2026-09-09T10:00:00+05:30,N01,0.81,0.11,1.25,0.25,96.0,simulated
2026-09-09T10:00:00+05:30,N02,1.05,0.16,1.62,0.39,95.0,simulated
2026-09-09T10:00:00+05:30,N03,0.99,0.15,1.54,0.35,93.9,simulated
2026-09-09T10:00:00+05:30,N01,0.72,0.10,1.10,0.20,96,seed
2026-09-09T10:00:02+05:30,N02,0.80,0.12,1.20,0.24,95,seed
2026-09-09T10:00:04+05:30,N03,0.76,0.11,1.15,0.21,94,seed
2026-09-09T10:00:06+05:30,N01,0.87,0.12,1.33,0.28,96.0,simulated
2026-09-09T10:00:06+05:30,N02,1.13,0.17,1.75,0.44,94.9,simulated
2026-09-09T10:00:06+05:30,N03,1.04,0.15,1.64,0.39,93.9,simulated
2026-09-09T10:00:12+05:30,N01,0.93,0.13,1.42,0.31,95.9,simulated
2026-09-09T10:00:12+05:30,N02,1.20,0.18,1.88,0.49,94.9,simulated
2026-09-09T10:00:12+05:30,N03,1.08,0.16,1.72,0.43,93.9,simulated
2026-09-09T10:00:18+05:30,N01,0.97,0.14,1.50,0.34,95.9,simulated
2026-09-09T10:00:18+05:30,N02,1.26,0.19,2.00,0.53,94.8,simulated
2026-09-09T10:00:18+05:30,N03,1.12,0.16,1.81,0.46,93.8,simulated
2026-09-09T10:00:24+05:30,N01,1.00,0.14,1.57,0.36,95.8,simulated
2026-09-09T10:00:24+05:30,N02,1.31,0.19,2.11,0.58,94.8,simulated
2026-09-09T10:00:24+05:30,N03,1.16,0.17,1.89,0.49,93.8,simulated
2026-09-09T10:00:30+05:30,N01,1.09,0.16,1.76,0.44,95.8,simulated
2026-09-09T10:00:30+05:30,N02,1.53,0.22,2.50,0.73,94.8,simulated
2026-09-09T10:00:30+05:30,N03,1.38,0.19,2.24,0.62,93.7,simulated
2026-09-09T10:00:36+05:30,N01,1.27,0.18,2.09,0.56,95.8,simulated
2026-09-09T10:00:36+05:30,N02,1.95,0.28,3.23,0.99,94.7,simulated
2026-09-09T10:00:36+05:30,N03,1.78,0.25,2.88,0.86,93.7,simulated
2026-09-09T10:00:42+05:30,N01,1.44,0.20,2.42,0.68,95.7,simulated
2026-09-09T10:00:42+05:30,N02,2.39,0.34,3.94,1.26,94.7,simulated
2026-09-09T10:00:42+05:30,N03,2.20,0.30,3.53,1.09,93.7,simulated
2026-09-09T10:00:48+05:30,N01,1.62,0.23,2.74,0.81,95.7,simulated
2026-09-09T10:00:48+05:30,N02,2.84,0.40,4.66,1.52,94.7,simulated
2026-09-09T10:00:48+05:30,N03,2.63,0.36,4.19,1.33,93.6,simulated
2026-09-09T10:00:54+05:30,N01,1.81,0.25,3.05,0.93,95.6,simulated
2026-09-09T10:00:54+05:30,N02,3.31,0.45,5.38,1.78,94.6,simulated
2026-09-09T10:00:54+05:30,N03,3.07,0.41,4.86,1.56,93.6,simulated
2026-09-09T10:01:00+05:30,N01,2.01,0.27,3.36,1.05,95.6,simulated
2026-09-09T10:01:00+05:30,N02,3.78,0.52,6.10,2.05,94.6,simulated
2026-09-09T10:01:00+05:30,N03,3.50,0.47,5.54,1.80,93.5,simulated
2026-09-09T10:01:00+05:30,N02,2.55,0.30,4.20,0.95,94,seed
2026-09-09T10:01:02+05:30,N03,2.80,0.34,4.60,1.10,93,seed
2026-09-09T10:01:06+05:30,N01,2.14,0.29,3.51,1.11,95.6,simulated
2026-09-09T10:01:06+05:30,N02,4.06,0.55,6.50,2.19,94.5,simulated
2026-09-09T10:01:06+05:30,N03,3.74,0.51,5.92,1.93,93.5,simulated
2026-09-09T10:01:12+05:30,N01,2.29,0.30,3.69,1.18,95.5,simulated
2026-09-09T10:01:12+05:30,N02,4.36,0.59,6.95,2.34,94.5,simulated
2026-09-09T10:01:12+05:30,N03,3.99,0.55,6.35,2.08,93.5,simulated
2026-09-09T10:01:18+05:30,N01,2.44,0.32,3.87,1.25,95.5,simulated
2026-09-09T10:01:18+05:30,N02,4.66,0.64,7.41,2.50,94.5,simulated
2026-09-09T10:01:18+05:30,N03,4.23,0.58,6.79,2.22,93.4,simulated
2026-09-09T10:01:24+05:30,N01,2.59,0.34,4.06,1.31,95.4,simulated
2026-09-09T10:01:24+05:30,N02,4.93,0.68,7.88,2.66,94.4,simulated
2026-09-09T10:01:24+05:30,N03,4.45,0.62,7.23,2.37,93.4,simulated
